source,title,authors,year,doi,url
Scopus,Attention Guided Spatio-Temporal Artifacts Extraction for Deepfake Detection,"Wang, Z.; Li, X.; Ni, R.; Zhao, Y.",2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118942938&partnerID=40&md5=7fb41a1abc4766eb0e8e92911f9f41c0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118942938&partnerID=40&md5=7fb41a1abc4766eb0e8e92911f9f41c0
Scopus,Exposing DeepFake Videos Using Attention Based Convolutional LSTM Network,"Su, Y.; Xia, H.; Liang, Q.; Nie, W.",2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114146226&partnerID=40&md5=4ed867b68b7307466f84115a1f21d6f3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114146226&partnerID=40&md5=4ed867b68b7307466f84115a1f21d6f3
Scopus,Multi-model DeepFake Detection Using Deep and Temporal Features,"John, J.; Sherif, B.V.",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135770471&partnerID=40&md5=7321f7bdcb13c6f8ed3b4703bb2a3475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135770471&partnerID=40&md5=7321f7bdcb13c6f8ed3b4703bb2a3475
Scopus,Fake face detection in video using shallow deep learning architectures,"Nguyen, H.T.; Dao, T.C.; Phan, T.M.N.; Phan, T.T.",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147539891&partnerID=40&md5=5c086fb8ad5e36b81cd3217cc01c1713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147539891&partnerID=40&md5=5c086fb8ad5e36b81cd3217cc01c1713
Scopus,Detecting deepfake videos based on spatiotemporal attention and convolutional LSTM,"Chen, B.; Li, T.; Ding, W.",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128119994&partnerID=40&md5=581010604140a13109c1122b7435cd0a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128119994&partnerID=40&md5=581010604140a13109c1122b7435cd0a
Scopus,Deepfake detection using LSTM-based neural network,"Yesugade, T.; Kokate, S.; Patil, S.; Varma, R.; Pawar, S.",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148481985&partnerID=40&md5=2992c5a3f0f106f4df65684d37398231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148481985&partnerID=40&md5=2992c5a3f0f106f4df65684d37398231
Scopus,Deepfake Video Detection Based on Improved CapsNet and Temporal–Spatial Features,"Lu, T.; Bao, Y.; Li, L.",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148000937&partnerID=40&md5=a969d8229bd49132b7ee0ac8e944c6fe,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148000937&partnerID=40&md5=a969d8229bd49132b7ee0ac8e944c6fe
Scopus,Deepfake detection for preventing Audio and Video frauds using Advanced Deep Learning Techniques,"Bharadwaj, R.; Ratnaparkhi, S.; Rajpurohit, R.; Rahate, K.; Pandita, R.; Thosar, S.",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186082979&partnerID=40&md5=93523ccb77c3599820cd812e2ab56eef,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186082979&partnerID=40&md5=93523ccb77c3599820cd812e2ab56eef
Scopus,Dual-Modality Co-Learning for Unveiling Deepfake in Spatio-Temporal Space,"Guan, J.; Zhou, H.; Guo, Z.; Hu, T.; Deng, L.; Quan, C.; Fang, M.; Zhao, Y.",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163697185&partnerID=40&md5=8cebfc10382ee49c66e589eb2c74fafd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163697185&partnerID=40&md5=8cebfc10382ee49c66e589eb2c74fafd
Scopus,A facial geometry based detection model for face manipulation using CNN-LSTM architecture,"Liang, P.; Liu, G.; Xiong, Z.; Fan, H.; Zhu, H.; Zhang, X.",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150044861&partnerID=40&md5=1ebee9494551bb9b3c516cfb837567f9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150044861&partnerID=40&md5=1ebee9494551bb9b3c516cfb837567f9
